order_id,customer_id,customer_name,product_id,product_name,category,order_date,year,quarter,month,month_label,quantity,unit_price,total_amount,region
8,13,Oceanic Airlines,8,Webcam HD,Electronics,2022-01-03,2022,Q1,1,2022-01,20,89.99,1799.8,Midwest
298,15,Cyberdyne Systems,1,Laptop Pro 15,Electronics,2022-01-10,2022,Q1,1,2022-01,2,1299.99,2599.98,Midwest
12,10,Vandelay Industries,11,Desk Lamp LED,Furniture,2022-01-17,2022,Q1,1,2022-01,11,39.99,439.89,Southeast
154,6,Pied Piper,18,Antivirus Suite,Software,2022-01-17,2022,Q1,1,2022-01,9,49.99,449.91,Midwest
146,10,Vandelay Industries,5,Monitor 27in,Electronics,2022-01-17,2022,Q1,1,2022-01,18,349.99,6299.82,West
140,1,Acme Corp,13,Pen Set Premium,Office Supplies,2022-01-20,2022,Q1,1,2022-01,3,12.99,38.97,Midwest
44,10,Vandelay Industries,1,Laptop Pro 15,Electronics,2022-01-27,2022,Q1,1,2022-01,18,1299.99,23399.82,West
199,13,Oceanic Airlines,5,Monitor 27in,Electronics,2022-01-27,2022,Q1,1,2022-01,16,349.99,5599.84,Midwest
45,15,Cyberdyne Systems,7,Noise Cancelling Headphones,Electronics,2022-01-30,2022,Q1,1,2022-01,9,249.99,2249.91,Southeast
179,13,Oceanic Airlines,11,Desk Lamp LED,Furniture,2022-02-01,2022,Q1,2,2022-02,6,39.99,239.94,Southeast
296,7,Dunder Mifflin,3,Standing Desk,Furniture,2022-02-07,2022,Q1,2,2022-02,6,499.0,2994.0,Southwest
89,8,Bluth Company,7,Noise Cancelling Headphones,Electronics,2022-02-08,2022,Q1,2,2022-02,15,249.99,3749.85,Northeast
115,14,Waystar Royco,2,Wireless Mouse,Electronics,2022-02-08,2022,Q1,2,2022-02,17,29.99,509.83,Midwest
295,4,Umbrella Corp,14,Ergonomic Mouse Pad,Office Supplies,2022-02-08,2022,Q1,2,2022-02,18,24.99,449.82,Southeast
97,11,Prestige Worldwide,13,Pen Set Premium,Office Supplies,2022-02-10,2022,Q1,2,2022-02,6,12.99,77.94,Southeast
162,13,Oceanic Airlines,10,Printer All-in-One,Electronics,2022-02-12,2022,Q1,2,2022-02,7,199.99,1399.93,Midwest
218,14,Waystar Royco,2,Wireless Mouse,Electronics,2022-02-12,2022,Q1,2,2022-02,19,29.99,569.81,Northeast
176,6,Pied Piper,9,Whiteboard XL,Office Supplies,2022-02-13,2022,Q1,2,2022-02,15,75.0,1125.0,Midwest
153,7,Dunder Mifflin,6,Mechanical Keyboard,Electronics,2022-02-14,2022,Q1,2,2022-02,16,129.99,2079.84,Southwest
60,11,Prestige Worldwide,7,Noise Cancelling Headphones,Electronics,2022-02-16,2022,Q1,2,2022-02,10,249.99,2499.9,Southeast
54,13,Oceanic Airlines,4,Office Chair,Furniture,2022-02-20,2022,Q1,2,2022-02,20,389.0,7780.0,Northeast
231,3,Initech,17,Project Mgmt License,Software,2022-02-21,2022,Q1,2,2022-02,4,149.99,599.96,Midwest
37,14,Waystar Royco,13,Pen Set Premium,Office Supplies,2022-02-22,2022,Q1,2,2022-02,14,12.99,181.86,Midwest
61,7,Dunder Mifflin,8,Webcam HD,Electronics,2022-02-26,2022,Q1,2,2022-02,20,89.99,1799.8,Northeast
1,9,Sterling Cooper,2,Wireless Mouse,Electronics,2022-03-04,2022,Q1,3,2022-03,12,29.99,359.88,Southwest
160,13,Oceanic Airlines,19,Video Conf License,Software,2022-03-06,2022,Q1,3,2022-03,5,199.99,999.95,Southwest
14,9,Sterling Cooper,16,Cloud Storage 1TB/yr,Software,2022-03-07,2022,Q1,3,2022-03,4,99.99,399.96,Southwest
202,15,Cyberdyne Systems,6,Mechanical Keyboard,Electronics,2022-03-09,2022,Q1,3,2022-03,3,129.99,389.97,Midwest
102,1,Acme Corp,17,Project Mgmt License,Software,2022-03-09,2022,Q1,3,2022-03,11,149.99,1649.89,Midwest
181,1,Acme Corp,15,USB-C Hub 7-port,Electronics,2022-03-10,2022,Q1,3,2022-03,5,59.99,299.95,Southeast
32,11,Prestige Worldwide,4,Office Chair,Furniture,2022-03-10,2022,Q1,3,2022-03,16,389.0,6224.0,Northeast
48,11,Prestige Worldwide,18,Antivirus Suite,Software,2022-03-13,2022,Q1,3,2022-03,13,49.99,649.87,Southeast
67,14,Waystar Royco,10,Printer All-in-One,Electronics,2022-03-15,2022,Q1,3,2022-03,12,199.99,2399.88,Southwest
88,6,Pied Piper,8,Webcam HD,Electronics,2022-03-17,2022,Q1,3,2022-03,17,89.99,1529.83,Midwest
245,9,Sterling Cooper,8,Webcam HD,Electronics,2022-03-17,2022,Q1,3,2022-03,10,89.99,899.9,Southwest
77,6,Pied Piper,15,USB-C Hub 7-port,Electronics,2022-03-20,2022,Q1,3,2022-03,6,59.99,359.94,West
90,6,Pied Piper,13,Pen Set Premium,Office Supplies,2022-03-20,2022,Q1,3,2022-03,10,12.99,129.9,Northeast
212,15,Cyberdyne Systems,7,Noise Cancelling Headphones,Electronics,2022-03-22,2022,Q1,3,2022-03,10,249.99,2499.9,Midwest
171,12,Monarch Corporation,8,Webcam HD,Electronics,2022-03-22,2022,Q1,3,2022-03,14,89.99,1259.86,Southwest
173,6,Pied Piper,10,Printer All-in-One,Electronics,2022-03-23,2022,Q1,3,2022-03,4,199.99,799.96,Midwest
96,13,Oceanic Airlines,10,Printer All-in-One,Electronics,2022-03-28,2022,Q1,3,2022-03,11,199.99,2199.89,West
73,14,Waystar Royco,14,Ergonomic Mouse Pad,Office Supplies,2022-04-01,2022,Q2,4,2022-04,12,24.99,299.88,Southwest
294,11,Prestige Worldwide,4,Office Chair,Furniture,2022-04-02,2022,Q2,4,2022-04,2,389.0,778.0,West
49,12,Monarch Corporation,20,Data Analytics Suite,Software,2022-04-04,2022,Q2,4,2022-04,1,299.99,299.99,West
33,14,Waystar Royco,16,Cloud Storage 1TB/yr,Software,2022-04-06,2022,Q2,4,2022-04,3,99.99,299.97,Southwest
248,2,Globex Inc,2,Wireless Mouse,Electronics,2022-04-10,2022,Q2,4,2022-04,5,29.99,149.95,Southwest
136,1,Acme Corp,9,Whiteboard XL,Office Supplies,2022-04-12,2022,Q2,4,2022-04,11,75.0,825.0,Midwest
290,12,Monarch Corporation,13,Pen Set Premium,Office Supplies,2022-04-13,2022,Q2,4,2022-04,16,12.99,207.84,Southeast
299,10,Vandelay Industries,16,Cloud Storage 1TB/yr,Software,2022-04-20,2022,Q2,4,2022-04,20,99.99,1999.8,Midwest
10,5,Hooli,6,Mechanical Keyboard,Electronics,2022-04-23,2022,Q2,4,2022-04,6,129.99,779.94,Northeast
58,6,Pied Piper,20,Data Analytics Suite,Software,2022-04-24,2022,Q2,4,2022-04,14,299.99,4199.86,Midwest
145,8,Bluth Company,20,Data Analytics Suite,Software,2022-04-24,2022,Q2,4,2022-04,3,299.99,899.97,Southwest
142,9,Sterling Cooper,8,Webcam HD,Electronics,2022-04-24,2022,Q2,4,2022-04,14,89.99,1259.86,Midwest
189,7,Dunder Mifflin,10,Printer All-in-One,Electronics,2022-05-01,2022,Q2,5,2022-05,18,199.99,3599.82,Midwest
143,4,Umbrella Corp,13,Pen Set Premium,Office Supplies,2022-05-05,2022,Q2,5,2022-05,10,12.99,129.9,Northeast
2,5,Hooli,1,Laptop Pro 15,Electronics,2022-05-06,2022,Q2,5,2022-05,7,1299.99,9099.93,Southwest
209,15,Cyberdyne Systems,18,Antivirus Suite,Software,2022-05-08,2022,Q2,5,2022-05,2,49.99,99.98,West
13,5,Hooli,9,Whiteboard XL,Office Supplies,2022-05-10,2022,Q2,5,2022-05,2,75.0,150.0,Southwest
22,3,Initech,13,Pen Set Premium,Office Supplies,2022-05-10,2022,Q2,5,2022-05,3,12.99,38.97,Midwest
109,7,Dunder Mifflin,12,Notebook Pack (10),Office Supplies,2022-05-11,2022,Q2,5,2022-05,11,14.99,164.89,West
201,13,Oceanic Airlines,2,Wireless Mouse,Electronics,2022-05-13,2022,Q2,5,2022-05,18,29.99,539.82,West
107,11,Prestige Worldwide,13,Pen Set Premium,Office Supplies,2022-05-13,2022,Q2,5,2022-05,13,12.99,168.87,West
